issue_id,issue_summary,story_points,priority,business_value,urgency,assigned_analyst
CMSYS-27050,Оценка рисков отсутствия проверки лимитов для регулярных платежей,1.0,79.0,10.0,10.0,analyst_1
CMSYS-26613,Стратегия LS 2026. Пассивы и сегментация,1.0,70.0,9.0,8.0,analyst_1
CMSYS-26617,Стратегия LS 2026. Оценка активных клиентов,1.0,18.0,1.0,1.0,analyst_1
CMSYS-26830,Стратегия LS: 2 этап,1.0,79.0,10.0,10.0,analyst_2
CMSYS-26829,Cтратегия LS 2026. Декомпозиция транз активности по продуктам,8.0,70.0,10.0,10.0,analyst_2
CMSYS-26762,Сегментация потенциальных клиентов ЕК,1.0,79.0,10.0,10.0,analyst_3
CMSYS-26777,Написать скрипт для распределения платежей из реестров,1.0,20.0,1.0,1.0,analyst_3
CMSYS-26795,"Презентация по ""Знаки внимани""",5.0,18.0,1.0,1.0,analyst_3
CMSYS-26647,Роадмап спецсчета,8.0,79.0,10.0,10.0,analyst_4
CMSYS-26705,Эффект РП на ТА: Синт контроль,1.0,18.0,1.0,1.0,analyst_4
